ID,Price,Area,floorCount,RoomCount,BedRoomCount,ToiletCount,Furniture,Facade,View,Direction,DistanceToMainRoad,OwnershipCertification,LandOwnershipCertification,houseOwnershipCertification,Location,Type

FID1STTIF1,7000000000,67,4,0,0,0,,0,,0,0,,0,0,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF2,0,200,4,0,5,0,"Biệt thự bàn giao hoàn thiện với nội thất cao cấp nhập khẩu Châu Âu: Thang máy, điều hòa, sàn gỗ, trần thạch cao, thiết bị vệ sinh đầy đủ có bồn tắm, tủ quần áo, tủ bếp, bếp, hút mùi, vòi, chậu,..",0,,0,0,Pháp lý đầy đủ. Sổ đỏ lâu dài.,0,0,"Dự án The Manor Central Park, Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF3,1000000000,32,3,0,3,0,Nội thất cơ bản.,0,,0,0,Sổ đỏ tên tôi,0,0,"Đường Cầu Diễn, Phường Thượng Cát, Bắc Từ Liêm, Hà Nội",Bán nhà riêng

FID1STTIF4,950000000,33,3,0,3,0,,0,,0,0,Sổ đỏ đã có.,0,0,"Phường Yên Nghĩa, Phố Lê Trọng Tấn, Hà Đông, Hà Nội",Bán nhà riêng

FID1STTIF5,0,0,4,0,4,0,Full nội thất vip - cơ bản hoàn thiện theo phong thủy từng chủ nhà.,0,,0,0,Sở hữu lâu dài được nhà nước cấp quyền sử dụng đất.,0,0,"Dự án Khai Sơn Hill, Phường Thượng Thanh, Long Biên, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF6,37000000000,206,3,0,0,0,Hoàn thiện nội thất.,0,,0,0,Nhà đã có sổ hồng,0,1,"Dự án Vinhomes Gardenia, Đường Hàm Nghi, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF7,32000000000,200,4,0,7,0,"Các căn biệt thự được bàn giao hoàn thiện với nội thất cao cấp nhập khẩu Châu Âu: Thang máy, sàn gỗ, trần thạch cao, thiết bị vệ sinh đầy đủ có bồn tắm, tủ quần áo, tủ bếp, bếp, hút mùi, vòi, chậu,...",0,,0,0,"Pháp lý đầy đủ, sổ đỏ lâu dài.",0,0,"Dự án The Manor Central Park, Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF8,13000000000,180,1,0,0,0,,0,,0,0,,0,0,"Dự án Dương Nội, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF9,1000000000,32,3,0,3,0,Phần nội thất cơ bản gồm: (Hình ảnh bên dưới là ảnh thật). 1. Cửa chính gỗ Lim. 2. Cầu thang gỗ Lim. 3. Cửa phòng ngủ gỗ Lim. 4. Tủ bếp và kệ bếp gỗ tự nhiên.,0,,0,0,Sổ đỏ.,0,0,"Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",Bán nhà riêng

FID1STTIF10,6000000000,225,4,0,4,0,,0,,0,0,Đã có sổ,0,0,"Dự án The Residence Phú Quốc, Đường Đại Lộ Cửa Lấp - An Thới, Xã Dương Tơ, Phú Quốc, Kiên Giang","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF11,32000000000,200,4,0,7,0,"Thang máy, sàn gỗ, trần thạch cao, thiết bị vệ sinh đầy đủ có bồn tắm, tủ quần áo, tủ bếp, bếp, hút mùi, vòi, chậu, điều hòa âm trần đầy đủ cho các phòng, nóng lạnh, thiết bị chiếu sáng...",0,,0,0,"- Pháp lý đầy đủ, sổ đỏ lâu dài.",0,0,"Dự án The Manor Central Park, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Hoàng Mai, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF12,16000000000,351,4,0,0,0,,0,,0,0,,0,0,"Dự án Khang An, Đường Số 9, Phường Phú Hữu, Quận 9, Hồ Chí Minh","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF13,5000000000,64,1,0,0,0,Full nội thất,0,,0,0,"Có sổ, pháp lý đầy đủ",0,0,"Phố 59, Phường 14, Gò Vấp, Hồ Chí Minh",Bán nhà riêng

FID1STTIF14,6000000000,235,1,0,0,0,,0,,0,0,,0,0,"Dự án Xanh Villas, Đường Đại lộ Thăng Long, Thạch Thất, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF15,11000000000,95,5,0,0,0,,0,,0,0,,0,0,"Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF16,52000000000,2265,1,0,4,0,,0,,0,0,,0,0,"7/40 Đường Tân Thới Nhất 1, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",Bán nhà riêng

FID1STTIF17,1000000000,33,3,0,3,0,"1. Cầu thang gỗ Lim. 2. Cửa thông phòng gỗ chò. Tủ bếp gỗ tự nhiên. 3. Cửa nhôm Việt Pháp, cửa chính inox. 4. Vệ sinh Inax. Trần thạch cao. 5. Sơn Jotun. Bồn nước sơn hà 6. Dây điện Trần Phú, đá ốp.",0,,0,0,Sổ đỏ chính chủ.,0,0,"Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",Bán nhà riêng

FID1STTIF18,25000000000,300,4,0,0,0,,0,,0,0,,0,0,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF19,7000000000,90,1,0,0,0,,0,,0,0,,0,0,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID1STTIF20,6000000000,160,3,0,0,0,,0,,0,0,,0,0,"Dự án Aqua City, Xã Long Hưng, Biên Hòa, Đồng Nai","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID2STTIF1,6000000000,160,3,0,0,0,,0,,0,0,,0,0,"Dự án Aqua City, Xã Long Hưng, Biên Hòa, Đồng Nai","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID2STTIF2,25000000000,152,1,0,4,0,,0,,0,0,"Nhà đã có sổ hồng, có thể sang tên công chứng ngay.",0,1,"Đường Cù Lao, Phường 2, Phú Nhuận, Hồ Chí Minh",Bán nhà riêng

FID2STTIF3,4000000000,65,2,0,2,0,,0,,0,0,Sổ hồng,0,1,"3/30, Đường Nguyễn Văn Săng, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",Bán nhà riêng

FID2STTIF4,6000000000,230,3,0,4,0,"Căn biệt thự xây 3 tầng, hoàn thiện mặt ngoài và cảnh quan sân vườn.",0,,0,0,Đã có sổ đỏ.,0,0,"Dự án Xanh Villas, Đường Đại lộ Thăng Long, Xã Tiến Xuân, Thạch Thất, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID2STTIF5,0,120,1,0,0,0,,0,,0,0,,0,0,"Dự án Geleximco Lê Trọng Tấn, Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID2STTIF6,7000000000,223,2,0,3,0,,0,,0,0,Sổ đỏ lâu dài.,0,0,"Dự án Xanh Villas, Đường 21, Xã Tiến Xuân, Thạch Thất, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID2STTIF7,11000000000,377,3,0,3,0,,0,,0,0,Sổ đỏ.,0,0,"Dự án Xanh Villas, Xã Tiến Xuân, Thạch Thất, Hà Nội","Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)"

FID2STTIF8,880000000,64,1,0,2,0,,0,,0,0,Có sổ,0,0,"Đường Hương Lộ 15, Xã Thạnh Phú, Vĩnh Cửu, Đồng Nai",Bán nhà riêng

FID2STTIF9,3000000000,40,4,0,4,0,"Tủ bếp gỗ Thiết bị vệ sinh Viglacera (chậu rửa, bệt liền khối, gương, vắt khăn, sen cây) Bình nóng lạnh Ariston Bồn nước Tân Á Trần thạch cao mỹ thuật.",0,,0,0,Sổ đỏ chính chủ,0,0,"Đường Hòe Thị, Phường Phương Canh, Nam Từ Liêm, Hà Nội",Bán nhà riêng

FID2STTIF10,14000000000,80,4,0,5,0,"Giường ngủ, điều hoà, tủ lạnh, bếp, bàn ăn.",0,,0,0,Sổ đỏ chính chủ.,0,0,"Ngõ Thái thịnh 1, Phố Thái Thịnh, Phường Thịnh Quang, Đống Đa, Hà Nội",Bán nhà riêng

